english,sinhala
Go.,යන්න.
Hi.,හායි.
Run!,දුවන්න!
Run.,දුවන්න.
Who?,කවුද?
Fire!,ගිනි!
Help!,උදව්!
Jump!,පනින්න!
Jump.,පනින්න.
Stop!,නවත්වන්න!
Wait!,ඉන්න!
Wait.,ඉන්න.
Go on.,ඉදිරියට යන්න.
Hello!,ආයුබෝවන්!
I ran.,මම දිව්වා.
I try.,මම උත්සාහ කරනවා.
I won!,මම දිනුවා!
Oh no!,ඔහ් නෑ!
Relax.,සන්සුන් වන්න.
Smile.,සිනහව.
Attack!,ප්රහාරය!
Get up.,නැගිටින්න.
Go now.,දැන් යන්න.
Got it!,තේරුම් ගත්තා ද!
Got it?,තේරුම් ගත්තා ද?
He ran.,ඔහු දිව්වා.
Hop in.,හොප් ඇතුලත.
Hug me.,මාව සිඹින්න.
I fell.,මම දරුණුයි.
I know.,මම දන්නවා.
I left.,මම පිටත් වුණා.
I lied.,මම බොරු කිව්වා.
I lost.,මම අතරමං වුණා.
I quit.,මම අත්හැරියා.
I work.,මම වැඩ කරනවා.
I'm 19.,මට වයස 19 යි.
I'm up.,මම නැගිට්ටා.
Listen.,සවන් දෙන්න.
No way!,කොහෙත්ම නැහැ!
Really?,ඇත්තටම?
Thanks.,ස්තූතියි.
Try it.,උත්සහ කරන්න.
We try.,අපි උත්සාහ කරනවා.
We won.,අපි දිනුවෙමු.
Why me?,ඇයි මම?
Ask Tom.,ටොම්ගෙන් අහන්න.
Awesome!,නියමයි!
Be calm.,සන්සුන් වන්න.
Be cool.,සන්සුන් වෙන්න.
Be fair.,සාධාරණ වෙන්න.
Be kind.,කරුණාවන්ත වන්න.
Be nice.,හොඳයි.
Beat it.,යනවා යන්න.
Call me.,මට අමතන්න.
Call us.,අප අමතන්න.
Come in.,එන්න.
Come on!,ඉදිරියට එන්න!
Come on.,ඉදිරියට එන්න.
Drop it!,එය අතහරින්න!
Get Tom.,ටොම් ගන්න.
Get out!,පලයන් එළියට!
Get out.,පලයන් එළියට.
Go away!,අහකට යන්න!
Go away.,අහකට යන්න.
Go home.,ගෙදර යන්න.
Go slow.,සෙමින් යන්න.
Goodbye!,ආයුබෝවන්!
Hang on!,රැඳී සිටින්න!
Hang on.,රැඳී සිටින්න.
He came.,ඔහු ආවා.
He quit.,ඔහු ඉවත්ව යයි.
Help me!,මට උපකාර කරන්න!
Help me.,මට උපකාර කරන්න.
Help us.,අපට උදව් කරන්න.
Hit Tom.,ටොම්ට පහර දෙන්න.
Hold it!,එය අල්ලා ගන්න!
Hold on.,නවත් වන්න.
Hug Tom.,බන්ධ ටොම්.
I agree.,මම එකඟයි.
I bowed.,මම හිස නමා.
I moved.,මම ඉවත්වුණා.
I slept.,මම නිදාගත්තා.
I tried.,මම උත්සාහ කළා.
I'll go.,මම යන්නම්.
I'm Tom.,මම ටොම්.
I'm fat.,මම මහතයි.
I'm fit.,මම සුදුසුයි.
I'm hit!,මට පහර දුන්නා!
I'm old.,මම වයසයි.
I'm shy.,මට ලැජ්ජයි.
I'm wet.,මම තෙත් කරනවා.
It's OK.,ඒකට කමක් නැහැ.
It's me!,ඒ මමයි!
It's me.,ඒ මමයි.
Join us.,අප හා එක් වන්න.
Keep it.,තියාගන්න.
